trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.3, 'e': 0.16529888822158656}",20,12,13.453159577503788,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.16283790839019696}",20,16,8.159625757926797,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.1604135677751728}",20,8,8.899562822047075,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.1580253208896478}",25,17,19.188481407918893,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.15567263036799733}",25,13,24.15385754109276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.15335496684492847}",30,13,16.29072241336816,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.15107180883637086}",30,18,12.365607672004078,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.14882264262214037}",20,14,9.581608457614513,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.14660696213035015}",30,18,15.937391666189638,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.144424268823542}",25,17,13.795361088597891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.1422740715865136}",25,3,6.196718346720668,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.14015588661581538}",20,0,18.747848403208515,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.3, 'e': 0.13806923731089282}",25,14,-25.37320584290542,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.3, 'e': 0.13601365416684918}",35,17,22.239412046910193,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
